alpha(deg)	e13
0.0	1.2343923132400756e-07
1.0	1.4063448860535431e-07
2.0	1.4341243555766312e-07
3.0	1.4614657306259963e-07
4.0	1.4883630088472933e-07
5.0	1.514806189465755e-07
6.0	1.5407882704057173e-07
7.0	1.5663002502780508e-07
8.0	1.5913361276732833e-07
9.0	1.6158869012344949e-07
10.0	1.6399455695949538e-07
11.0	1.6635041318310816e-07
12.0	1.6865565859622255e-07
13.0	1.7090949315051273e-07
14.0	1.731113166920265e-07
15.0	1.7526032913209735e-07
16.0	1.7735603031794712e-07
17.0	1.793976202244708e-07
18.0	1.8138469867905236e-07
19.0	1.8331646561623443e-07
20.0	1.8519232096938922e-07
21.0	1.8701186460946312e-07
22.0	1.8877439649202405e-07
23.0	1.9047941653067744e-07
24.0	1.9212642463953882e-07
25.0	1.9371492075360028e-07
26.0	1.9524440480816174e-07
27.0	1.9671437675914276e-07
28.0	1.981245365010696e-07
29.0	1.9947428403141823e-07
30.0	2.0076321928616858e-07
31.0	2.0199104222163916e-07
32.0	2.031573527744788e-07
33.0	2.0426175094207777e-07
34.0	2.053039366814071e-07
35.0	2.0628360992963886e-07
36.0	2.0720037070461192e-07
37.0	2.0805411896379442e-07
38.0	2.0884445470512938e-07
39.0	2.0957117788658263e-07
40.0	2.1023398854616373e-07
41.0	2.1083288662237512e-07
42.0	2.1136747217321306e-07
43.0	2.1183774515753317e-07
44.0	2.122434055936948e-07
45.0	2.1258445350053342e-07
46.0	2.1286078889686002e-07
47.0	2.1307221178158127e-07
48.0	2.1321882219396699e-07
49.0	2.133004201528658e-07
50.0	2.1331700569743414e-07
51.0	2.132686788672761e-07
52.0	2.1315533968180429e-07
53.0	2.1297708820049634e-07
54.0	2.1273402444382519e-07
55.0	2.1242604850967938e-07
56.0	2.120534604001585e-07
57.0	2.11616260213708e-07
58.0	2.1111454799079264e-07
59.0	2.1054862379264236e-07
60.0	2.099184877177174e-07
61.0	2.0922443980811565e-07
62.0	2.0846658016298655e-07
63.0	2.0764530884485764e-07
64.0	2.067608259537754e-07
65.0	2.0581323158903924e-07
66.0	2.0480302579535043e-07
67.0	2.0373040871153233e-07
68.0	2.025957804204473e-07
69.0	2.0139944104268117e-07
70.0	2.0014169067978048e-07
71.0	1.9882302941625153e-07
72.0	1.9744375739226858e-07
73.0	1.960043747119496e-07
74.0	1.945052814977996e-07
75.0	1.9294687791035275e-07
76.0	1.913297640178937e-07
77.0	1.8965443998270827e-07
78.0	1.879212059649631e-07
79.0	1.861308620554781e-07
80.0	1.8428370841516524e-07
81.0	1.8238044520979653e-07
82.0	1.804216725671019e-07
83.0	1.7840789065146912e-07
84.0	1.763397995931389e-07
85.0	1.7421799959608006e-07
86.0	1.720430907905697e-07
87.0	1.6981587332917797e-07
88.0	1.6753684743482225e-07
89.0	1.652068132433121e-07
90.0	9.528501789302397e-07
91.0	1.6039642071280995e-07
92.0	1.5791766272510223e-07
93.0	1.55390697191516e-07
94.0	1.5281642429280136e-07
95.0	1.501956442280479e-07
96.0	1.4752905721439054e-07
97.0	1.448175634205791e-07
98.0	1.4206196308791936e-07
99.0	1.3926305642426142e-07
100.0	1.3642174362469733e-07
101.0	1.3353892494114212e-07
102.0	1.3061530062473443e-07
103.0	1.2765197086877123e-07
104.0	1.246498359206073e-07
105.0	1.2160959606328665e-07
106.0	1.1853245152786156e-07
107.0	1.1541910261076628e-07
108.0	1.1227064955745123e-07
109.0	1.0908789268482375e-07
110.0	1.0587203228037622e-07
111.0	1.026238686859666e-07
112.0	9.934447220453183e-08
113.0	9.603479322541896e-08
114.0	9.269587211515407e-08
115.0	8.932871928879606e-08
116.0	8.593435519354294e-08
117.0	8.251381030040441e-08
118.0	7.906814517484528e-08
119.0	7.559839040102968e-08
120.0	7.210560666937419e-08
121.0	6.859087475204457e-08
122.0	6.505524557172615e-08
123.0	6.149981020129864e-08
124.0	5.7925649934359744e-08
125.0	5.4333856359606953e-08
126.0	5.0725511464389135e-08
127.0	4.710173778511401e-08
128.0	4.3463628655532845e-08
129.0	3.981229856260968e-08
130.0	3.61488737397683e-08
131.0	3.24744631749808e-08
132.0	2.879021036950472e-08
133.0	2.5097266691805062e-08
134.0	2.1396768200445806e-08
135.0	1.7689941085176134e-08
136.0	1.397802175574627e-08
137.0	1.0262484111576341e-08
138.0	6.545560715186304e-09
139.0	2.835206211935253e-09
140.0	9.711327525576408e-10
141.0	4.644041930416392e-09
142.0	8.359745387910732e-09
143.0	1.2076372864092897e-08
144.0	1.579035367420054e-08
145.0	1.9499958312790698e-08
146.0	2.320384678731025e-08
147.0	2.6900804868475415e-08
148.0	3.058965395674452e-08
149.0	3.426923637626594e-08
150.0	3.7938425203450404e-08
151.0	4.1596089428175826e-08
152.0	4.5241111596303684e-08
153.0	4.8872356399354644e-08
154.0	5.2488740015191295e-08
155.0	5.608913956406624e-08
156.0	5.967247278926625e-08
157.0	6.323762794014618e-08
158.0	6.678352362207493e-08
159.0	7.030908866496368e-08
160.0	7.381324209237866e-08
161.0	7.729491309449588e-08
162.0	8.07530409709905e-08
163.0	8.418657510709342e-08
164.0	8.759447493234499e-08
165.0	9.0975690005258e-08
166.0	9.432918987755801e-08
167.0	9.765396411051648e-08
168.0	1.0094900241029142e-07
169.0	1.0421325438181078e-07
170.0	1.0744579975399955e-07
171.0	1.1064563820376006e-07
172.0	1.1381176946791148e-07
173.0	1.1694319329568046e-07
174.0	1.2003900942263282e-07
175.0	1.2309821764016964e-07
176.0	1.2612001769936668e-07
177.0	1.2910330940844733e-07
178.0	1.3204739250827486e-07
179.0	1.3495116688319312e-07
180.0	1.2343923132400756e-07
