alpha(deg)	e12
0.0	2.0895930363016527e-07
1.0	2.1035577220033447e-06
2.0	3.996487146368546e-06
3.0	5.884577421297896e-06
4.0	7.765507972251193e-06
5.0	9.636980253040383e-06
6.0	1.1496715995553785e-05
7.0	1.3342436920370686e-05
8.0	1.5171914104893122e-05
9.0	1.6982896821605603e-05
10.0	1.8773194416487942e-05
11.0	2.0540626300344353e-05
12.0	2.2283021915546905e-05
13.0	2.39982807215971e-05
14.0	2.5684292211857416e-05
15.0	2.7339015884956657e-05
16.0	2.8960421260036532e-05
17.0	3.054655786213696e-05
18.0	3.2095465241515143e-05
19.0	3.3605272947975454e-05
20.0	3.507414055874877e-05
21.0	3.650027765089432e-05
22.0	3.788194382774194e-05
23.0	3.921744869870289e-05
24.0	4.050518188731989e-05
25.0	4.1743563034556224e-05
26.0	4.293109179752291e-05
27.0	4.406630784813368e-05
28.0	4.5147840869715905e-05
29.0	4.617436056692605e-05
30.0	4.7144636655562045e-05
31.0	4.8057458875310096e-05
32.0	4.891174698070348e-05
33.0	4.970643074591598e-05
34.0	5.0440559938254466e-05
35.0	5.111323437888175e-05
36.0	5.17236338916918e-05
37.0	5.2271018325235685e-05
38.0	5.2754717511365186e-05
39.0	5.3174141350337796e-05
40.0	5.352878974277024e-05
41.0	5.381821259922633e-05
42.0	5.4042069869565735e-05
43.0	5.420008146760598e-05
44.0	5.429205741661298e-05
45.0	5.4317887677273635e-05
46.0	5.4277542278458996e-05
47.0	5.4171071230117914e-05
48.0	5.3998604588569964e-05
49.0	5.3760342458778336e-05
50.0	5.345657488105234e-05
51.0	5.30876919807567e-05
52.0	5.265412387385862e-05
53.0	5.215640073954249e-05
54.0	5.159513269492033e-05
55.0	5.09710099466897e-05
56.0	5.028478268751516e-05
57.0	4.953730112999421e-05
58.0	4.872945552064874e-05
59.0	4.786224610200721e-05
60.0	4.6936723126656976e-05
61.0	4.5954006910752814e-05
62.0	4.491530773457912e-05
63.0	4.382188592081013e-05
64.0	4.2675081797434386e-05
65.0	4.147627571991455e-05
66.0	4.022693804467003e-05
67.0	3.892859914893976e-05
68.0	3.7582819429114244e-05
69.0	3.6191259282671505e-05
70.0	3.47555991329911e-05
71.0	3.327759940939137e-05
72.0	3.175905055445237e-05
73.0	3.02018130237271e-05
74.0	2.8607777286632796e-05
75.0	2.6978893822335805e-05
76.0	2.5317133123096736e-05
77.0	2.3624535694754638e-05
78.0	2.1903142057003978e-05
