alpha(deg)	e33
0.0	2.5483796390712318e-05
1.0	2.5483796390712318e-05
2.0	2.5483796390712318e-05
3.0	2.5483796390712318e-05
4.0	2.5483796390712318e-05
5.0	2.5483796390712318e-05
6.0	2.5483796390712318e-05
7.0	2.5483796390712318e-05
8.0	2.5483796390712318e-05
9.0	2.5483796390712318e-05
10.0	2.5483796390712318e-05
11.0	2.5483796390712318e-05
12.0	2.5483796390712318e-05
13.0	2.5483796390712318e-05
14.0	2.5483796390712318e-05
15.0	2.5483796390712318e-05
16.0	2.5483796390712318e-05
17.0	2.5483796390712318e-05
18.0	2.5483796390712318e-05
19.0	2.5483796390712318e-05
20.0	2.5483796390712318e-05
21.0	2.5483796390712318e-05
22.0	2.5483796390712318e-05
23.0	2.5483796390712318e-05
24.0	2.5483796390712318e-05
25.0	2.5483796390712318e-05
26.0	2.5483796390712318e-05
27.0	2.5483796390712318e-05
28.0	2.5483796390712318e-05
29.0	2.5483796390712318e-05
30.0	2.5483796390712318e-05
31.0	2.5483796390712318e-05
32.0	2.5483796390712318e-05
33.0	2.5483796390712318e-05
34.0	2.5483796390712318e-05
35.0	2.5483796390712318e-05
36.0	2.5483796390712318e-05
37.0	2.5483796390712318e-05
38.0	2.5483796390712318e-05
39.0	2.5483796390712318e-05
40.0	2.5483796390712318e-05
41.0	2.5483796390712318e-05
42.0	2.5483796390712318e-05
43.0	2.5483796390712318e-05
44.0	2.5483796390712318e-05
45.0	2.5483796390712318e-05
46.0	2.5483796390712318e-05
47.0	2.5483796390712318e-05
48.0	2.5483796390712318e-05
49.0	2.5483796390712318e-05
50.0	2.5483796390712318e-05
51.0	2.5483796390712318e-05
52.0	2.5483796390712318e-05
53.0	2.5483796390712318e-05
54.0	2.5483796390712318e-05
55.0	2.5483796390712318e-05
56.0	2.5483796390712318e-05
57.0	2.5483796390712318e-05
58.0	2.5483796390712318e-05
59.0	2.5483796390712318e-05
60.0	2.5483796390712318e-05
61.0	2.5483796390712318e-05
62.0	2.5483796390712318e-05
63.0	2.5483796390712318e-05
64.0	2.5483796390712318e-05
65.0	2.5483796390712318e-05
66.0	2.5483796390712318e-05
67.0	2.5483796390712318e-05
68.0	2.5483796390712318e-05
69.0	2.5483796390712318e-05
70.0	2.5483796390712318e-05
71.0	2.5483796390712318e-05
72.0	2.5483796390712318e-05
73.0	2.5483796390712318e-05
74.0	2.5483796390712318e-05
75.0	2.5483796390712318e-05
76.0	2.5483796390712318e-05
77.0	2.5483796390712318e-05
78.0	2.5483796390712318e-05
79.0	2.5483796390712318e-05
80.0	2.5483796390712318e-05
81.0	2.5483796390712318e-05
82.0	2.5483796390712318e-05
83.0	2.5483796390712318e-05
84.0	2.5483796390712318e-05
85.0	2.5483796390712318e-05
86.0	2.5483796390712318e-05
87.0	2.5483796390712318e-05
88.0	2.5483796390712318e-05
89.0	2.5483796390712318e-05
90.0	2.5483796390712318e-05
91.0	2.5483796390712318e-05
92.0	2.5483796390712318e-05
93.0	2.5483796390712318e-05
94.0	2.5483796390712318e-05
95.0	2.5483796390712318e-05
96.0	2.5483796390712318e-05
97.0	2.5483796390712318e-05
98.0	2.5483796390712318e-05
99.0	2.5483796390712318e-05
100.0	2.5483796390712318e-05
101.0	2.5483796390712318e-05
102.0	2.5483796390712318e-05
103.0	2.5483796390712318e-05
104.0	2.5483796390712318e-05
105.0	2.5483796390712318e-05
106.0	2.5483796390712318e-05
107.0	2.5483796390712318e-05
108.0	2.5483796390712318e-05
109.0	2.5483796390712318e-05
110.0	2.5483796390712318e-05
111.0	2.5483796390712318e-05
112.0	2.5483796390712318e-05
113.0	2.5483796390712318e-05
114.0	2.5483796390712318e-05
115.0	2.5483796390712318e-05
116.0	2.5483796390712318e-05
117.0	2.5483796390712318e-05
118.0	2.5483796390712318e-05
119.0	2.5483796390712318e-05
120.0	2.5483796390712318e-05
121.0	2.5483796390712318e-05
122.0	2.5483796390712318e-05
123.0	2.5483796390712318e-05
124.0	2.5483796390712318e-05
125.0	2.5483796390712318e-05
126.0	2.5483796390712318e-05
127.0	2.5483796390712318e-05
128.0	2.5483796390712318e-05
129.0	2.5483796390712318e-05
130.0	2.5483796390712318e-05
131.0	2.5483796390712318e-05
132.0	2.5483796390712318e-05
133.0	2.5483796390712318e-05
134.0	2.5483796390712318e-05
135.0	2.5483796390712318e-05
136.0	2.5483796390712318e-05
137.0	2.5483796390712318e-05
138.0	2.5483796390712318e-05
139.0	2.5483796390712318e-05
140.0	2.5483796390712318e-05
141.0	2.5483796390712318e-05
142.0	2.5483796390712318e-05
143.0	2.5483796390712318e-05
144.0	2.5483796390712318e-05
145.0	2.5483796390712318e-05
146.0	2.5483796390712318e-05
147.0	2.5483796390712318e-05
148.0	2.5483796390712318e-05
149.0	2.5483796390712318e-05
150.0	2.5483796390712318e-05
151.0	2.5483796390712318e-05
152.0	2.5483796390712318e-05
153.0	2.5483796390712318e-05
154.0	2.5483796390712318e-05
155.0	2.5483796390712318e-05
156.0	2.5483796390712318e-05
157.0	2.5483796390712318e-05
158.0	2.5483796390712318e-05
159.0	2.5483796390712318e-05
160.0	2.5483796390712318e-05
161.0	2.5483796390712318e-05
162.0	2.5483796390712318e-05
163.0	2.5483796390712318e-05
164.0	2.5483796390712318e-05
165.0	2.5483796390712318e-05
166.0	2.5483796390712318e-05
167.0	2.5483796390712318e-05
168.0	2.5483796390712318e-05
169.0	2.5483796390712318e-05
170.0	2.5483796390712318e-05
171.0	2.5483796390712318e-05
172.0	2.5483796390712318e-05
173.0	2.5483796390712318e-05
174.0	2.5483796390712318e-05
175.0	2.5483796390712318e-05
176.0	2.5483796390712318e-05
177.0	2.5483796390712318e-05
178.0	2.5483796390712318e-05
179.0	2.5483796390712318e-05
180.0	2.5483796390712318e-05
