hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      Fid         Rate(Hz)    Cost        T_pump   
2.220292E+02   3.409911E+02   4.656001E+02   3.232009E+05   9.491793E+06   1.981613E+14   5.340246E+09   1.106247E+05   4.375387E+07   9.651557E-01   1.687291E+04   3.923436E-02   8.463232E-09
2.230059E+02   3.394902E+02   4.615472E+02   3.310268E+05   9.415503E+06   1.992309E+14   5.351813E+09   1.093338E+05   2.828048E+06   9.645992E-01   1.738348E+04   3.965981E-02   8.463232E-09
2.183713E+02   3.401577E+02   4.679036E+02   3.208778E+05   9.003366E+06   1.973714E+14   5.342287E+09   9.702357E+04   2.471834E+08   9.652110E-01   1.655429E+04   3.926370E-02   9.671799E-09
2.232753E+02   3.423673E+02   4.699335E+02   3.150058E+05   9.252939E+06   1.970700E+14   5.323743E+09   7.560521E+04   2.311203E+07   9.646915E-01   1.826542E+04   3.936267E-02   1.443512E-08
2.205346E+02   3.450028E+02   4.667396E+02   3.225851E+05   9.271354E+06   1.980981E+14   5.321613E+09   9.061722E+04   9.894873E+06   9.647947E-01   1.774327E+04   3.937892E-02   1.105295E-08
2.167034E+02   3.413908E+02   4.636986E+02   3.291477E+05   9.271507E+06   1.985903E+14   5.349731E+09   8.927397E+04   2.607302E+07   9.647872E-01   1.815269E+04   3.929247E-02   1.105295E-08
2.148481E+02   3.372453E+02   4.650365E+02   3.254298E+05   9.173192E+06   1.978707E+14   5.366447E+09   7.837889E+04   2.260662E+08   9.648989E-01   1.773056E+04   3.927815E-02   1.263134E-08
2.170736E+02   3.352267E+02   4.688431E+02   3.162803E+05   8.871101E+06   1.967253E+14   5.362178E+09   5.501342E+04   1.182689E+07   9.647917E-01   1.713642E+04   3.952938E-02   1.885221E-08
2.137599E+02   3.407036E+02   4.673093E+02   3.239969E+05   9.257549E+06   1.974361E+14   5.348660E+09   1.135303E+05   1.011073E+07   9.649192E-01   1.741692E+04   3.933305E-02   8.463232E-09
2.110860E+02   3.396819E+02   4.635222E+02   3.317537E+05   9.298157E+06   1.983669E+14   5.364769E+09   8.426792E+04   1.755490E+07   9.649275E-01   1.743372E+04   3.932064E-02   1.105295E-08
2.076335E+02   3.358521E+02   4.535139E+02   3.476718E+05   9.290434E+06   2.008563E+14   5.405994E+09   7.823160E+04   1.697007E+07   9.648966E-01   1.755319E+04   3.932258E-02   1.105295E-08
2.121313E+02   3.307419E+02   4.503668E+02   3.092824E+05   9.061801E+06   2.014884E+14   5.429207E+09   5.022237E+03   2.649505E+07   9.649806E-01   9.126783E+03   4.311830E-02   2.083726E-07
2.117395E+02   3.323579E+02   4.590289E+02   3.343293E+05   9.161230E+06   1.991249E+14   5.403990E+09   6.975824E+04   5.885375E+07   9.651530E-01   1.655043E+04   3.932246E-02   1.263134E-08
2.202766E+02   3.330995E+02   4.511446E+02   3.242347E+05   9.155209E+06   2.016652E+14   5.403921E+09   1.061627E+04   1.905463E+07   9.648523E-01   1.293456E+04   4.086872E-02   9.354369E-08
2.050482E+02   3.326333E+02   4.556710E+02   3.451602E+05   8.854705E+06   1.999263E+14   5.419775E+09   7.840106E+04   3.107879E+07   9.649626E-01   1.732658E+04   3.931192E-02   1.105295E-08
2.179562E+02   3.391468E+02   4.580132E+02   3.402862E+05   8.766113E+06   2.000984E+14   5.368060E+09   1.050611E+05   1.622482E+07   9.649365E-01   1.743492E+04   3.931148E-02   8.463232E-09
2.105593E+02   3.391007E+02   4.568594E+02   3.426073E+05   9.119759E+06   2.001991E+14   5.381118E+09   9.041774E+04   5.028158E+07   9.650100E-01   1.736217E+04   3.925604E-02   9.671799E-09
2.135015E+02   3.416398E+02   4.598488E+02   3.378076E+05   9.458050E+06   1.996040E+14   5.359689E+09   1.004565E+05   5.609609E+07   9.646841E-01   1.888059E+04   3.923820E-02   9.671799E-09
2.080615E+02   3.428534E+02   4.600479E+02   3.414628E+05   9.217748E+06   1.995016E+14   5.360239E+09   7.245184E+04   2.622885E+08   9.648615E-01   1.790605E+04   3.927461E-02   1.263134E-08
2.110812E+02   3.451544E+02   4.624896E+02   3.349350E+05   9.209052E+06   1.990396E+14   5.342824E+09   7.627926E+04   1.850342E+07   9.647271E-01   1.817778E+04   3.934672E-02   1.263134E-08
2.110772E+02   3.443467E+02   4.571658E+02   3.459257E+05   9.743582E+06   2.005406E+14   5.355919E+09   7.325651E+04   1.126666E+07   9.646134E-01   1.859247E+04   3.936931E-02   1.263134E-08
2.052988E+02   3.391326E+02   4.568882E+02   3.462764E+05   9.483169E+06   2.000406E+14   5.389228E+09   9.807808E+04   4.973950E+07   9.651282E-01   1.700834E+04   3.922693E-02   8.463232E-09
2.061283E+02   3.384407E+02   4.618509E+02   3.349225E+05   8.905836E+06   1.986100E+14   5.381560E+09   7.426726E+04   1.615929E+07   9.648150E-01   1.767102E+04   3.937581E-02   1.263134E-08
2.069096E+02   3.424777E+02   4.545542E+02   9.351469E+05   3.091222E+07   2.010324E+14   5.375078E+09   6.060895E+04   7.817311E+06   9.649783E-01   1.956999E+04   3.880731E-02   1.949194E-09
2.051118E+02   3.447108E+02   4.567592E+02   3.472729E+05   9.371856E+06   2.004985E+14   5.364111E+09   8.474100E+04   5.321984E+06   9.649361E-01   1.674466E+04   3.948656E-02   9.671799E-09
2.063791E+02   3.402066E+02   4.527388E+02   3.507405E+05   9.255329E+06   2.013821E+14   5.389297E+09   3.447668E+04   1.827910E+07   9.649040E-01   1.653672E+04   3.957393E-02   2.462092E-08
2.095777E+02   3.435722E+02   4.532545E+02   3.495381E+05   9.415164E+06   2.015722E+14   5.366789E+09   3.415657E+04   1.191609E+07   9.649267E-01   1.628474E+04   3.962050E-02   2.462092E-08
2.050876E+02   3.446046E+02   4.523144E+02   3.422123E+05   9.256701E+06   2.017868E+14   5.371877E+09   1.436562E+04   5.044873E+06   9.645143E-01   1.446641E+04   4.060074E-02   6.267603E-08
2.072860E+02   3.424283E+02   4.565606E+02   3.475859E+05   9.503470E+06   2.004399E+14   5.371544E+09   7.122353E+04   6.331320E+07   9.647879E-01   1.821281E+04   3.927838E-02   1.263134E-08
2.149155E+02   3.400894E+02   4.558389E+02   3.454934E+05   8.756708E+06   2.007149E+14   5.371764E+09   8.714018E+04   8.235346E+07   9.651090E-01   1.689542E+04   3.927507E-02   9.671799E-09
2.069526E+02   3.428043E+02   4.644118E+02   3.340094E+05   9.295600E+06   1.982009E+14   5.357628E+09   6.886295E+04   1.442958E+07   9.651183E-01   1.640900E+04   3.939544E-02   1.263134E-08
2.170854E+02   3.442466E+02   4.595632E+02   3.419004E+05   9.029943E+06   2.000001E+14   5.344432E+09   7.904940E+04   6.258075E+07   9.650308E-01   1.717314E+04   3.928216E-02   1.105295E-08
2.152133E+02   3.452132E+02   4.653449E+02   3.280446E+05   9.458824E+06   1.983614E+14   5.330431E+09   9.766743E+04   8.025506E+07   9.650230E-01   1.742227E+04   3.922839E-02   9.671799E-09
2.160802E+02   3.442722E+02   4.694744E+02   3.211234E+05   9.457499E+06   1.971478E+14   5.327762E+09   8.536379E+04   3.126011E+07   9.651424E-01   1.668104E+04   3.929803E-02   1.105295E-08
