hy_d(nm)    hx_d(nm)    a_d(nm)     g_om(Hz)    g_sm(Hz)    f_opt(Hz)   f_mech(Hz)   Q_opt       Q_mech      Fid         Rate(Hz)    Cost        T_pump   
2.975841E+02   3.159310E+02   4.348918E+02   9.071416E+05   2.091624E+07   1.885737E+14   4.074269E+09   1.012502E+05   1.718150E+06   9.539710E-01   7.059963E+04   6.092529E-02   4.341913E-09
2.843959E+02   3.338152E+02   4.347693E+02   9.095430E+05   2.043518E+07   1.891676E+14   4.015537E+09   2.886645E+04   4.029514E+06   9.548329E-01   6.401305E+04   6.159768E-02   1.443512E-08
2.821476E+02   3.284553E+02   4.301704E+02   9.323629E+05   2.050877E+07   1.896130E+14   4.051293E+09   4.163929E+04   5.110021E+06   9.546974E-01   6.626002E+04   6.117842E-02   9.671799E-09
2.750000E+02   3.150000E+02   4.350000E+02   8.961144E+05   2.064352E+07   1.872951E+14   4.048892E+09   2.771672E+05   1.358269E+06   9.530943E-01   7.542550E+04   6.084305E-02   1.705627E-09
2.832845E+02   3.221985E+02   4.350000E+02   8.909262E+05   2.067885E+07   1.877281E+14   4.056844E+09   1.867632E+05   1.812560E+05   9.509326E-01   7.452351E+04   6.314024E-02   2.545641E-09
2.921059E+02   3.328803E+02   4.350000E+02   9.077913E+05   2.045284E+07   1.893920E+14   4.029395E+09   2.716204E+04   2.649477E+06   9.537660E-01   6.783894E+04   6.172816E-02   1.649648E-08
2.913995E+02   3.150000E+02   4.350000E+02   9.102212E+05   2.090372E+07   1.881862E+14   4.068185E+09   1.285987E+05   1.135494E+06   9.541097E-01   6.960484E+04   6.100000E-02   3.324598E-09
2.862760E+02   3.344815E+02   4.271737E+02   9.688208E+05   2.007832E+07   1.918024E+14   4.030447E+09   9.533848E+03   6.496360E+06   9.537879E-01   6.126376E+04   6.335455E-02   4.199411E-08
2.750000E+02   3.239467E+02   4.350000E+02   8.970690E+05   2.064170E+07   1.872965E+14   4.048521E+09   2.455286E+05   6.017595E+06   9.550931E-01   6.701937E+04   6.061078E-02   1.705627E-09
3.004353E+02   3.450000E+02   4.350000E+02   9.472615E+05   2.012874E+07   1.919299E+14   3.975951E+09   5.516548E+03   5.005310E+05   9.518190E-01   5.178980E+04   6.838407E-02   7.162629E-08
2.930273E+02   3.450000E+02   4.100000E+02   1.257137E+06   1.944458E+07   2.011731E+14   3.988490E+09   1.068388E+03   5.635519E+06   9.529528E-01   3.522611E+04   7.663640E-02   2.381286E-07
2.861015E+02   3.450000E+02   4.350000E+02   9.390313E+05   1.988177E+07   1.910534E+14   3.958562E+09   6.236574E+03   8.705324E+04   9.451680E-01   4.239320E+04   7.928267E-02   4.799096E-08
2.757957E+02   3.353331E+02   4.294435E+02   9.528241E+05   2.007279E+07   1.906060E+14   4.006810E+09   1.403234E+04   1.543242E+06   9.539914E-01   6.222219E+04   6.289301E-02   2.813684E-08
2.881731E+02   3.150000E+02   4.100000E+02   1.066584E+06   1.988350E+07   1.961985E+14   4.115027E+09   4.229964E+03   4.976700E+05   9.524304E-01   4.924387E+04   6.881912E-02   7.162629E-08
2.754794E+02   3.271961E+02   4.102536E+02   1.099481E+06   1.962891E+07   1.957952E+14   4.083601E+09   3.480119E+03   6.333423E+06   9.532752E-01   5.218525E+04   6.680704E-02   9.354369E-08
3.050000E+02   3.150000E+02   4.237148E+02   9.693722E+05   2.056372E+07   1.924643E+14   4.111800E+09   1.563461E+04   4.603731E+05   9.527936E-01   6.319509E+04   6.381224E-02   2.462092E-08
3.012194E+02   3.215040E+02   4.316576E+02   9.283141E+05   2.092762E+07   1.897493E+14   4.087239E+09   6.019341E+04   2.337461E+06   9.532215E-01   7.343188E+04   6.109333E-02   7.405685E-09
2.973278E+02   3.371261E+02   4.350000E+02   9.233020E+05   2.037776E+07   1.903723E+14   4.013337E+09   1.511302E+04   4.831445E+06   9.541941E-01   6.303967E+04   6.247674E-02   2.813684E-08
3.050000E+02   3.190812E+02   4.350000E+02   9.159403E+05   2.084088E+07   1.889886E+14   4.083942E+09   7.871171E+04   2.428068E+06   9.535686E-01   7.243675E+04   6.094667E-02   5.670524E-09
3.045212E+02   3.299099E+02   4.267864E+02   9.650870E+05   2.029152E+07   1.922595E+14   4.078753E+09   1.022315E+04   2.436023E+06   9.546054E-01   5.817195E+04   6.345495E-02   3.674662E-08
2.920519E+02   3.204079E+02   4.350000E+02   9.054047E+05   2.103420E+07   1.882276E+14   4.067800E+09   1.156478E+05   3.800835E+06   9.541709E-01   7.062108E+04   6.072398E-02   3.799357E-09
2.750000E+02   3.203132E+02   4.283526E+02   9.260531E+05   2.012874E+07   1.892666E+14   4.064115E+09   8.215390E+04   1.853168E+05   9.519692E-01   6.766430E+04   6.353542E-02   4.961948E-09
2.803258E+02   3.293004E+02   4.350000E+02   9.005876E+05   2.048708E+07   1.881929E+14   4.033464E+09   9.952267E+04   1.736162E+06   9.543978E-01   6.847416E+04   6.096396E-02   4.341913E-09
2.813949E+02   3.285296E+02   4.226436E+02   9.883873E+05   2.024402E+07   1.920082E+14   4.065062E+09   1.505631E+04   2.034495E+06   9.541091E-01   6.335476E+04   6.247816E-02   2.462092E-08
2.888225E+02   3.225833E+02   4.292073E+02   9.383471E+05   2.080124E+07   1.897565E+14   4.080637E+09   5.857662E+04   4.312795E+06   9.534169E-01   7.298962E+04   6.098695E-02   7.405685E-09
2.750000E+02   3.150000E+02   4.209412E+02   9.930827E+05   2.029815E+07   1.915989E+14   4.079394E+09   2.116143E+04   5.646357E+05   9.539549E-01   6.254292E+04   6.284296E-02   1.649648E-08
2.941341E+02   3.178623E+02   4.307868E+02   9.264104E+05   2.061328E+07   1.895892E+14   4.080883E+09   5.828011E+04   8.648002E+05   9.533533E-01   7.083203E+04   6.148488E-02   7.405685E-09
2.754605E+02   3.361393E+02   4.348452E+02   9.130710E+05   2.002869E+07   1.889917E+14   3.993029E+09   2.991450E+04   1.801903E+06   9.539984E-01   6.682430E+04   6.173292E-02   1.443512E-08
2.881767E+02   3.290846E+02   4.314289E+02   9.296701E+05   2.037609E+07   1.896727E+14   4.051932E+09   4.000691E+04   4.140726E+06   9.533812E-01   7.178969E+04   6.126097E-02   1.105295E-08
3.002737E+02   3.272463E+02   4.347935E+02   9.123919E+05   2.087024E+07   1.890981E+14   4.066728E+09   6.092221E+04   5.331976E+06   9.536450E-01   7.204087E+04   6.095053E-02   7.405685E-09
2.971741E+02   3.217036E+02   4.209127E+02   9.883635E+05   2.014264E+07   1.928975E+14   4.107773E+09   1.089941E+04   1.740156E+06   9.528525E-01   6.475758E+04   6.335708E-02   3.674662E-08
3.050000E+02   3.282462E+02   4.180476E+02   1.001931E+06   2.019860E+07   1.949652E+14   4.106151E+09   4.011452E+03   1.640472E+06   9.530379E-01   5.024790E+04   6.780495E-02   9.354369E-08
2.750000E+02   3.193516E+02   4.350000E+02   8.952023E+05   2.063463E+07   1.872906E+14   4.048469E+09   2.209831E+05   3.063795E+06   9.546836E-01   6.855698E+04   6.066438E-02   1.949194E-09
2.750000E+02   3.266418E+02   4.193625E+02   1.015917E+06   2.021058E+07   1.924045E+14   4.073308E+09   1.233776E+04   3.587471E+06   9.544498E-01   6.163389E+04   6.260243E-02   2.813684E-08
3.049413E+02   3.269435E+02   4.312939E+02   9.329177E+05   2.069558E+07   1.903772E+14   4.084191E+09   3.354915E+04   3.444550E+06   9.539366E-01   6.861501E+04   6.138652E-02   1.263134E-08
2.930487E+02   3.365201E+02   4.307494E+02   9.467071E+05   2.019498E+07   1.913824E+14   4.021453E+09   9.350703E+03   7.286918E+06   9.547226E-01   5.754427E+04   6.353511E-02   4.199411E-08
3.050000E+02   3.401524E+02   4.350000E+02   9.317443E+05   2.039222E+07   1.913613E+14   4.009115E+09   9.155603E+03   2.144886E+06   9.531579E-01   6.093120E+04   6.406587E-02   4.799096E-08
3.042969E+02   3.300453E+02   4.349099E+02   9.165705E+05   2.066956E+07   1.897163E+14   4.058448E+09   3.561677E+04   1.888231E+06   9.533692E-01   7.053906E+04   6.153031E-02   1.263134E-08
2.869882E+02   3.242522E+02   4.236970E+02   9.706374E+05   2.041589E+07   1.913829E+14   4.091328E+09   2.288498E+04   2.656849E+06   9.544588E-01   6.468260E+04   6.179679E-02   1.649648E-08
2.994894E+02   3.194385E+02   4.349076E+02   9.112918E+05   2.100013E+07   1.886819E+14   4.076926E+09   1.035705E+05   2.674468E+06   9.536132E-01   7.283531E+04   6.082392E-02   4.341913E-09
2.996936E+02   3.150000E+02   4.288815E+02   9.472429E+05   2.072850E+07   1.904995E+14   4.091758E+09   4.049752E+04   9.832748E+05   9.542271E-01   6.624671E+04   6.164404E-02   9.671799E-09
3.050000E+02   3.429438E+02   4.350000E+02   3.701471E+06   3.288346E+07   1.918455E+14   3.994193E+09   6.366316E+03   2.124048E+06   9.536802E-01   7.405325E+04   6.052221E-02   4.341913E-09
