alpha(deg)	e33
0.0	(2.343786e-05-2.228662e-07j)
1.0	(2.343786e-05-2.228662e-07j)
2.0	(2.343786e-05-2.228662e-07j)
3.0	(2.343786e-05-2.228662e-07j)
4.0	(2.343786e-05-2.228662e-07j)
5.0	(2.343786e-05-2.228662e-07j)
6.0	(2.343786e-05-2.228662e-07j)
7.0	(2.343786e-05-2.228662e-07j)
8.0	(2.343786e-05-2.228662e-07j)
9.0	(2.343786e-05-2.228662e-07j)
10.0	(2.343786e-05-2.228662e-07j)
11.0	(2.343786e-05-2.228662e-07j)
12.0	(2.343786e-05-2.228662e-07j)
13.0	(2.343786e-05-2.228662e-07j)
14.0	(2.343786e-05-2.228662e-07j)
15.0	(2.343786e-05-2.228662e-07j)
16.0	(2.343786e-05-2.228662e-07j)
17.0	(2.343786e-05-2.228662e-07j)
18.0	(2.343786e-05-2.228662e-07j)
19.0	(2.343786e-05-2.228662e-07j)
20.0	(2.343786e-05-2.228662e-07j)
21.0	(2.343786e-05-2.228662e-07j)
22.0	(2.343786e-05-2.228662e-07j)
23.0	(2.343786e-05-2.228662e-07j)
24.0	(2.343786e-05-2.228662e-07j)
25.0	(2.343786e-05-2.228662e-07j)
26.0	(2.343786e-05-2.228662e-07j)
27.0	(2.343786e-05-2.228662e-07j)
28.0	(2.343786e-05-2.228662e-07j)
29.0	(2.343786e-05-2.228662e-07j)
30.0	(2.343786e-05-2.228662e-07j)
31.0	(2.343786e-05-2.228662e-07j)
32.0	(2.343786e-05-2.228662e-07j)
33.0	(2.343786e-05-2.228662e-07j)
34.0	(2.343786e-05-2.228662e-07j)
35.0	(2.343786e-05-2.228662e-07j)
36.0	(2.343786e-05-2.228662e-07j)
37.0	(2.343786e-05-2.228662e-07j)
38.0	(2.343786e-05-2.228662e-07j)
39.0	(2.343786e-05-2.228662e-07j)
40.0	(2.343786e-05-2.228662e-07j)
41.0	(2.343786e-05-2.228662e-07j)
42.0	(2.343786e-05-2.228662e-07j)
43.0	(2.343786e-05-2.228662e-07j)
44.0	(2.343786e-05-2.228662e-07j)
45.0	(2.343786e-05-2.228662e-07j)
46.0	(2.343786e-05-2.228662e-07j)
47.0	(2.343786e-05-2.228662e-07j)
48.0	(2.343786e-05-2.228662e-07j)
49.0	(2.343786e-05-2.228662e-07j)
50.0	(2.343786e-05-2.228662e-07j)
51.0	(2.343786e-05-2.228662e-07j)
52.0	(2.343786e-05-2.228662e-07j)
53.0	(2.343786e-05-2.228662e-07j)
54.0	(2.343786e-05-2.228662e-07j)
55.0	(2.343786e-05-2.228662e-07j)
56.0	(2.343786e-05-2.228662e-07j)
57.0	(2.343786e-05-2.228662e-07j)
58.0	(2.343786e-05-2.228662e-07j)
59.0	(2.343786e-05-2.228662e-07j)
60.0	(2.343786e-05-2.228662e-07j)
61.0	(2.343786e-05-2.228662e-07j)
62.0	(2.343786e-05-2.228662e-07j)
63.0	(2.343786e-05-2.228662e-07j)
64.0	(2.343786e-05-2.228662e-07j)
65.0	(2.343786e-05-2.228662e-07j)
66.0	(2.343786e-05-2.228662e-07j)
67.0	(2.343786e-05-2.228662e-07j)
68.0	(2.343786e-05-2.228662e-07j)
69.0	(2.343786e-05-2.228662e-07j)
70.0	(2.343786e-05-2.228662e-07j)
71.0	(2.343786e-05-2.228662e-07j)
72.0	(2.343786e-05-2.228662e-07j)
73.0	(2.343786e-05-2.228662e-07j)
74.0	(2.343786e-05-2.228662e-07j)
75.0	(2.343786e-05-2.228662e-07j)
76.0	(2.343786e-05-2.228662e-07j)
77.0	(2.343786e-05-2.228662e-07j)
78.0	(2.343786e-05-2.228662e-07j)
79.0	(2.343786e-05-2.228662e-07j)
80.0	(2.343786e-05-2.228662e-07j)
81.0	(2.343786e-05-2.228662e-07j)
82.0	(2.343786e-05-2.228662e-07j)
83.0	(2.343786e-05-2.228662e-07j)
84.0	(2.343786e-05-2.228662e-07j)
85.0	(2.343786e-05-2.228662e-07j)
86.0	(2.343786e-05-2.228662e-07j)
87.0	(2.343786e-05-2.228662e-07j)
88.0	(2.343786e-05-2.228662e-07j)
89.0	(2.343786e-05-2.228662e-07j)
90.0	(2.343786e-05-2.228662e-07j)
91.0	(2.343786e-05-2.228662e-07j)
92.0	(2.343786e-05-2.228662e-07j)
93.0	(2.343786e-05-2.228662e-07j)
94.0	(2.343786e-05-2.228662e-07j)
95.0	(2.343786e-05-2.228662e-07j)
96.0	(2.343786e-05-2.228662e-07j)
97.0	(2.343786e-05-2.228662e-07j)
98.0	(2.343786e-05-2.228662e-07j)
