alpha(deg)	e33
99.0	(2.343786e-05-2.228662e-07j)
100.0	(2.343786e-05-2.228662e-07j)
101.0	(2.343786e-05-2.228662e-07j)
102.0	(2.343786e-05-2.228662e-07j)
103.0	(2.343786e-05-2.228662e-07j)
104.0	(2.343786e-05-2.228662e-07j)
105.0	(2.343786e-05-2.228662e-07j)
106.0	(2.343786e-05-2.228662e-07j)
107.0	(2.343786e-05-2.228662e-07j)
108.0	(2.343786e-05-2.228662e-07j)
109.0	(2.343786e-05-2.228662e-07j)
110.0	(2.343786e-05-2.228662e-07j)
111.0	(2.343786e-05-2.228662e-07j)
112.0	(2.343786e-05-2.228662e-07j)
113.0	(2.343786e-05-2.228662e-07j)
114.0	(2.343786e-05-2.228662e-07j)
115.0	(2.343786e-05-2.228662e-07j)
116.0	(2.343786e-05-2.228662e-07j)
117.0	(2.343786e-05-2.228662e-07j)
118.0	(2.343786e-05-2.228662e-07j)
119.0	(2.343786e-05-2.228662e-07j)
120.0	(2.343786e-05-2.228662e-07j)
121.0	(2.343786e-05-2.228662e-07j)
122.0	(2.343786e-05-2.228662e-07j)
123.0	(2.343786e-05-2.228662e-07j)
124.0	(2.343786e-05-2.228662e-07j)
125.0	(2.343786e-05-2.228662e-07j)
126.0	(2.343786e-05-2.228662e-07j)
127.0	(2.343786e-05-2.228662e-07j)
128.0	(2.343786e-05-2.228662e-07j)
129.0	(2.343786e-05-2.228662e-07j)
130.0	(2.343786e-05-2.228662e-07j)
131.0	(2.343786e-05-2.228662e-07j)
132.0	(2.343786e-05-2.228662e-07j)
133.0	(2.343786e-05-2.228662e-07j)
134.0	(2.343786e-05-2.228662e-07j)
135.0	(2.343786e-05-2.228662e-07j)
136.0	(2.343786e-05-2.228662e-07j)
137.0	(2.343786e-05-2.228662e-07j)
138.0	(2.343786e-05-2.228662e-07j)
139.0	(2.343786e-05-2.228662e-07j)
140.0	(2.343786e-05-2.228662e-07j)
141.0	(2.343786e-05-2.228662e-07j)
142.0	(2.343786e-05-2.228662e-07j)
143.0	(2.343786e-05-2.228662e-07j)
144.0	(2.343786e-05-2.228662e-07j)
145.0	(2.343786e-05-2.228662e-07j)
146.0	(2.343786e-05-2.228662e-07j)
147.0	(2.343786e-05-2.228662e-07j)
148.0	(2.343786e-05-2.228662e-07j)
149.0	(2.343786e-05-2.228662e-07j)
150.0	(2.343786e-05-2.228662e-07j)
151.0	(2.343786e-05-2.228662e-07j)
152.0	(2.343786e-05-2.228662e-07j)
153.0	(2.343786e-05-2.228662e-07j)
154.0	(2.343786e-05-2.228662e-07j)
155.0	(2.343786e-05-2.228662e-07j)
156.0	(2.343786e-05-2.228662e-07j)
157.0	(2.343786e-05-2.228662e-07j)
158.0	(2.343786e-05-2.228662e-07j)
159.0	(2.343786e-05-2.228662e-07j)
160.0	(2.343786e-05-2.228662e-07j)
161.0	(2.343786e-05-2.228662e-07j)
162.0	(2.343786e-05-2.228662e-07j)
163.0	(2.343786e-05-2.228662e-07j)
164.0	(2.343786e-05-2.228662e-07j)
165.0	(2.343786e-05-2.228662e-07j)
166.0	(2.343786e-05-2.228662e-07j)
167.0	(2.343786e-05-2.228662e-07j)
168.0	(2.343786e-05-2.228662e-07j)
169.0	(2.343786e-05-2.228662e-07j)
170.0	(2.343786e-05-2.228662e-07j)
171.0	(2.343786e-05-2.228662e-07j)
172.0	(2.343786e-05-2.228662e-07j)
173.0	(2.343786e-05-2.228662e-07j)
174.0	(2.343786e-05-2.228662e-07j)
175.0	(2.343786e-05-2.228662e-07j)
176.0	(2.343786e-05-2.228662e-07j)
177.0	(2.343786e-05-2.228662e-07j)
178.0	(2.343786e-05-2.228662e-07j)
179.0	(2.343786e-05-2.228662e-07j)
180.0	(2.343786e-05-2.228662e-07j)
