alpha(deg)	e23
0.0	(-1.118621e-08-1.047594e-09j)
1.0	(-9.05353e-09-1.066755e-09j)
2.0	(-6.918096e-09-1.085591e-09j)
3.0	(-4.780555e-09-1.104097e-09j)
4.0	(-2.641557e-09-1.122266e-09j)
5.0	(-5.017548e-10-1.140093e-09j)
6.0	(1.6382e-09-1.157573e-09j)
7.0	(3.777657e-09-1.174701e-09j)
8.0	(5.915962e-09-1.191471e-09j)
9.0	(8.052465e-09-1.207877e-09j)
10.0	(1.018652e-08-1.223916e-09j)
11.0	(1.231746e-08-1.239582e-09j)
12.0	(1.444466e-08-1.254871e-09j)
13.0	(1.656745e-08-1.269777e-09j)
14.0	(1.86852e-08-1.284296e-09j)
15.0	(2.079726e-08-1.298424e-09j)
16.0	(2.290298e-08-1.312157e-09j)
17.0	(2.500173e-08-1.32549e-09j)
18.0	(2.709286e-08-1.338419e-09j)
19.0	(2.917574e-08-1.350941e-09j)
20.0	(3.124973e-08-1.363051e-09j)
21.0	(3.33142e-08-1.374745e-09j)
22.0	(3.536852e-08-1.386021e-09j)
23.0	(3.741207e-08-1.396875e-09j)
24.0	(3.944422e-08-1.407303e-09j)
25.0	(4.146436e-08-1.417303e-09j)
26.0	(4.347187e-08-1.426871e-09j)
27.0	(4.546614e-08-1.436004e-09j)
28.0	(4.744655e-08-1.4447e-09j)
29.0	(4.941252e-08-1.452956e-09j)
30.0	(5.136343e-08-1.460769e-09j)
31.0	(5.32987e-08-1.468138e-09j)
32.0	(5.521773e-08-1.475059e-09j)
33.0	(5.711994e-08-1.48153e-09j)
34.0	(5.900475e-08-1.487551e-09j)
35.0	(6.087159e-08-1.493118e-09j)
36.0	(6.271989e-08-1.498231e-09j)
37.0	(6.454908e-08-1.502887e-09j)
38.0	(6.635861e-08-1.507085e-09j)
39.0	(6.814792e-08-1.510824e-09j)
40.0	(6.991648e-08-1.514103e-09j)
41.0	(7.166374e-08-1.516921e-09j)
42.0	(7.338917e-08-1.519277e-09j)
43.0	(7.509225e-08-1.52117e-09j)
44.0	(7.677245e-08-1.522599e-09j)
45.0	(7.842927e-08-1.523565e-09j)
46.0	(8.006219e-08-1.524067e-09j)
47.0	(8.167073e-08-1.524105e-09j)
48.0	(8.325439e-08-1.523678e-09j)
49.0	(8.481269e-08-1.522787e-09j)
50.0	(8.634516e-08-1.521432e-09j)
51.0	(8.785132e-08-1.519614e-09j)
52.0	(8.933072e-08-1.517333e-09j)
53.0	(9.078292e-08-1.514589e-09j)
54.0	(9.220746e-08-1.511385e-09j)
55.0	(9.360391e-08-1.50772e-09j)
56.0	(9.497185e-08-1.503596e-09j)
57.0	(9.631086e-08-1.499013e-09j)
58.0	(9.762053e-08-1.493974e-09j)
59.0	(9.890047e-08-1.48848e-09j)
60.0	(1.001503e-07-1.482533e-09j)
61.0	(1.013696e-07-1.476134e-09j)
62.0	(1.02558e-07-1.469285e-09j)
63.0	(1.037152e-07-1.461989e-09j)
64.0	(1.048408e-07-1.454248e-09j)
65.0	(1.059344e-07-1.446063e-09j)
66.0	(1.069958e-07-1.437438e-09j)
67.0	(1.080246e-07-1.428375e-09j)
68.0	(1.090205e-07-1.418877e-09j)
69.0	(1.099832e-07-1.408947e-09j)
70.0	(1.109124e-07-1.398588e-09j)
71.0	(1.118078e-07-1.387802e-09j)
72.0	(1.126691e-07-1.376594e-09j)
73.0	(1.134961e-07-1.364967e-09j)
74.0	(1.142886e-07-1.352924e-09j)
75.0	(1.150462e-07-1.340468e-09j)
76.0	(1.157688e-07-1.327605e-09j)
77.0	(1.164561e-07-1.314337e-09j)
78.0	(1.17108e-07-1.300668e-09j)
79.0	(1.177242e-07-1.286604e-09j)
80.0	(1.183045e-07-1.272147e-09j)
81.0	(1.188488e-07-1.257303e-09j)
82.0	(1.193568e-07-1.242076e-09j)
83.0	(1.198286e-07-1.226471e-09j)
84.0	(1.202638e-07-1.210492e-09j)
85.0	(1.206624e-07-1.194144e-09j)
86.0	(1.210242e-07-1.177433e-09j)
87.0	(1.213492e-07-1.160363e-09j)
88.0	(1.216372e-07-1.142939e-09j)
89.0	(1.218881e-07-1.125167e-09j)
90.0	(1.221019e-07-1.107053e-09j)
91.0	(1.222786e-07-1.088601e-09j)
92.0	(1.224179e-07-1.069818e-09j)
93.0	(1.2252e-07-1.050709e-09j)
94.0	(1.225848e-07-1.03128e-09j)
95.0	(1.226122e-07-1.011537e-09j)
96.0	(1.226023e-07-9.91485e-10j)
97.0	(1.225551e-07-9.711316e-10j)
98.0	(1.224705e-07-9.504824e-10j)
99.0	(1.223486e-07-9.295436e-10j)
100.0	(1.221894e-07-9.083216e-10j)
101.0	(1.21993e-07-8.86823e-10j)
102.0	(1.217595e-07-8.650543e-10j)
103.0	(1.214888e-07-8.43022e-10j)
104.0	(1.211812e-07-8.207329e-10j)
105.0	(1.208366e-07-7.981939e-10j)
106.0	(1.204553e-07-7.754117e-10j)
107.0	(1.200372e-07-7.523933e-10j)
108.0	(1.195826e-07-7.291457e-10j)
109.0	(1.190915e-07-7.05676e-10j)
110.0	(1.185642e-07-6.819914e-10j)
111.0	(1.180008e-07-6.58099e-10j)
112.0	(1.174014e-07-6.340062e-10j)
113.0	(1.167662e-07-6.097202e-10j)
114.0	(1.160955e-07-5.852485e-10j)
115.0	(1.153894e-07-5.605985e-10j)
116.0	(1.146482e-07-5.357778e-10j)
117.0	(1.138721e-07-5.107939e-10j)
118.0	(1.130612e-07-4.856543e-10j)
119.0	(1.122159e-07-4.603669e-10j)
120.0	(1.113365e-07-4.349392e-10j)
121.0	(1.104231e-07-4.09379e-10j)
122.0	(1.094761e-07-3.836941e-10j)
123.0	(1.084957e-07-3.578923e-10j)
124.0	(1.074823e-07-3.319816e-10j)
125.0	(1.064362e-07-3.059697e-10j)
126.0	(1.053576e-07-2.798646e-10j)
127.0	(1.04247e-07-2.536742e-10j)
128.0	(1.031046e-07-2.274066e-10j)
129.0	(1.019307e-07-2.010697e-10j)
130.0	(1.007259e-07-1.746715e-10j)
131.0	(9.949031e-08-1.482202e-10j)
132.0	(9.822446e-08-1.217237e-10j)
133.0	(9.692868e-08-9.519011e-11j)
134.0	(9.560338e-08-6.862754e-11j)
135.0	(9.424895e-08-4.204406e-11j)
136.0	(9.286582e-08-1.544778e-11j)
137.0	(9.14544e-08+1.115321e-11j)
138.0	(9.001512e-08+3.775081e-11j)
139.0	(8.854842e-08+6.433692e-11j)
140.0	(8.705474e-08+9.090339e-11j)
141.0	(8.553455e-08+1.174422e-10j)
142.0	(8.398831e-08+1.439452e-10j)
143.0	(8.241648e-08+1.704044e-10j)
144.0	(8.081955e-08+1.968117e-10j)
145.0	(7.9198e-08+2.23159e-10j)
146.0	(7.755232e-08+2.494384e-10j)
147.0	(7.588302e-08+2.756417e-10j)
148.0	(7.419061e-08+3.017611e-10j)
149.0	(7.24756e-08+3.277886e-10j)
150.0	(7.073851e-08+3.537163e-10j)
151.0	(6.897987e-08+3.795362e-10j)
152.0	(6.720022e-08+4.052405e-10j)
153.0	(6.54001e-08+4.308213e-10j)
154.0	(6.358006e-08+4.562709e-10j)
155.0	(6.174066e-08+4.815815e-10j)
156.0	(5.988244e-08+5.067455e-10j)
157.0	(5.800599e-08+5.31755e-10j)
158.0	(5.611186e-08+5.566026e-10j)
159.0	(5.420064e-08+5.812807e-10j)
160.0	(5.227292e-08+6.057817e-10j)
161.0	(5.032927e-08+6.300981e-10j)
162.0	(4.837029e-08+6.542227e-10j)
163.0	(4.639657e-08+6.781479e-10j)
164.0	(4.440873e-08+7.018666e-10j)
165.0	(4.240735e-08+7.253714e-10j)
166.0	(4.039306e-08+7.486553e-10j)
167.0	(3.836646e-08+7.717112e-10j)
168.0	(3.632818e-08+7.94532e-10j)
169.0	(3.427883e-08+8.171108e-10j)
170.0	(3.221904e-08+8.394407e-10j)
171.0	(3.014944e-08+8.615142e-10j)
172.0	(2.807065e-08+8.833266e-10j)
173.0	(2.598331e-08+9.048693e-10j)
174.0	(2.388806e-08+9.261364e-10j)
175.0	(2.178552e-08+9.471213e-10j)
176.0	(1.967636e-08+9.678177e-10j)
177.0	(1.75612e-08+9.882194e-10j)
178.0	(1.544069e-08+1.00832e-09j)
179.0	(1.331548e-08+1.028113e-09j)
180.0	(1.118621e-08+1.047594e-09j)
