alpha(deg)	e22
0.0	(-0.0002760141+2.624234e-06j)
1.0	(-0.0002760687+2.624337e-06j)
2.0	(-0.0002760565+2.623807e-06j)
3.0	(-0.0002759777+2.622644e-06j)
4.0	(-0.0002758323+2.62085e-06j)
5.0	(-0.0002756205+2.618428e-06j)
6.0	(-0.0002753425+2.615379e-06j)
7.0	(-0.0002749987+2.611708e-06j)
8.0	(-0.0002745895+2.60742e-06j)
9.0	(-0.0002741155+2.602519e-06j)
10.0	(-0.0002735771+2.597011e-06j)
11.0	(-0.000272975+2.590904e-06j)
12.0	(-0.0002723101+2.584204e-06j)
13.0	(-0.000271583+2.57692e-06j)
14.0	(-0.0002707947+2.569061e-06j)
15.0	(-0.0002699461+2.560635e-06j)
16.0	(-0.0002690382+2.551655e-06j)
17.0	(-0.0002680723+2.54213e-06j)
18.0	(-0.0002670494+2.532072e-06j)
19.0	(-0.0002659707+2.521493e-06j)
20.0	(-0.0002648377+2.510406e-06j)
21.0	(-0.0002636517+2.498825e-06j)
22.0	(-0.0002624141+2.486764e-06j)
23.0	(-0.0002611264+2.474237e-06j)
24.0	(-0.0002597903+2.46126e-06j)
25.0	(-0.0002584073+2.447849e-06j)
26.0	(-0.0002569791+2.43402e-06j)
27.0	(-0.0002555074+2.419789e-06j)
28.0	(-0.0002539942+2.405174e-06j)
29.0	(-0.0002524411+2.390194e-06j)
30.0	(-0.0002508501+2.374865e-06j)
31.0	(-0.0002492231+2.359207e-06j)
32.0	(-0.0002475622+2.34324e-06j)
33.0	(-0.0002458693+2.326981e-06j)
34.0	(-0.0002441464+2.310452e-06j)
35.0	(-0.0002423958+2.293672e-06j)
36.0	(-0.0002406195+2.276662e-06j)
37.0	(-0.0002388197+2.259442e-06j)
38.0	(-0.0002369986+2.242034e-06j)
39.0	(-0.0002351584+2.224458e-06j)
40.0	(-0.0002333013+2.206736e-06j)
41.0	(-0.0002314296+2.18889e-06j)
42.0	(-0.0002295457+2.170942e-06j)
43.0	(-0.0002276517+2.152913e-06j)
44.0	(-0.00022575+2.134825e-06j)
45.0	(-0.0002238429+2.1167e-06j)
46.0	(-0.0002219328+2.098561e-06j)
47.0	(-0.0002200219+2.080429e-06j)
48.0	(-0.0002181126+2.062327e-06j)
49.0	(-0.0002162072+2.044276e-06j)
50.0	(-0.000214308+2.026299e-06j)
51.0	(-0.0002124174+2.008417e-06j)
52.0	(-0.0002105377+1.990653e-06j)
53.0	(-0.0002086711+1.973028e-06j)
54.0	(-0.0002068199+1.955563e-06j)
55.0	(-0.0002049863+1.938279e-06j)
56.0	(-0.0002031727+1.921199e-06j)
57.0	(-0.0002013812+1.904342e-06j)
58.0	(-0.000199614+1.887729e-06j)
