alpha(deg)	e22
59.0	(-0.0001978733+1.87138e-06j)
60.0	(-0.0001961611+1.855316e-06j)
61.0	(-0.0001944796+1.839555e-06j)
62.0	(-0.0001928308+1.824118e-06j)
63.0	(-0.0001912167+1.809022e-06j)
64.0	(-0.0001896393+1.794287e-06j)
65.0	(-0.0001881005+1.779929e-06j)
66.0	(-0.0001866022+1.765968e-06j)
67.0	(-0.0001851461+1.752419e-06j)
68.0	(-0.0001837342+1.739299e-06j)
69.0	(-0.000182368+1.726625e-06j)
70.0	(-0.0001810494+1.714411e-06j)
71.0	(-0.0001797797+1.702672e-06j)
72.0	(-0.0001785607+1.691423e-06j)
73.0	(-0.0001773939+1.680678e-06j)
74.0	(-0.0001762805+1.67045e-06j)
75.0	(-0.000175222+1.66075e-06j)
76.0	(-0.0001742197+1.651591e-06j)
77.0	(-0.0001732747+1.642985e-06j)
78.0	(-0.0001723884+1.63494e-06j)
79.0	(-0.0001715616+1.627469e-06j)
80.0	(-0.0001707954+1.620578e-06j)
81.0	(-0.0001700909+1.614277e-06j)
82.0	(-0.0001694487+1.608574e-06j)
83.0	(-0.0001688698+1.603476e-06j)
84.0	(-0.0001683547+1.598988e-06j)
85.0	(-0.0001679042+1.595116e-06j)
86.0	(-0.0001675188+1.591865e-06j)
87.0	(-0.0001671989+1.589238e-06j)
88.0	(-0.000166945+1.58724e-06j)
89.0	(-0.0001667573+1.585872e-06j)
90.0	(-0.0001666362+1.585136e-06j)
91.0	(-0.0001665816+1.585033e-06j)
92.0	(-0.0001665938+1.585564e-06j)
93.0	(-0.0001666726+1.586726e-06j)
94.0	(-0.000166818+1.58852e-06j)
95.0	(-0.0001670298+1.590943e-06j)
96.0	(-0.0001673078+1.593991e-06j)
97.0	(-0.0001676516+1.597662e-06j)
98.0	(-0.0001680607+1.601951e-06j)
99.0	(-0.0001685348+1.606852e-06j)
100.0	(-0.0001690732+1.612359e-06j)
101.0	(-0.0001696752+1.618467e-06j)
102.0	(-0.0001703402+1.625167e-06j)
103.0	(-0.0001710673+1.632451e-06j)
104.0	(-0.0001718556+1.64031e-06j)
105.0	(-0.0001727042+1.648735e-06j)
106.0	(-0.000173612+1.657716e-06j)
107.0	(-0.000174578+1.667241e-06j)
108.0	(-0.0001756009+1.677299e-06j)
109.0	(-0.0001766795+1.687878e-06j)
110.0	(-0.0001778125+1.698965e-06j)
111.0	(-0.0001789986+1.710545e-06j)
112.0	(-0.0001802362+1.722607e-06j)
113.0	(-0.0001815238+1.735133e-06j)
114.0	(-0.00018286+1.74811e-06j)
115.0	(-0.000184243+1.761522e-06j)
116.0	(-0.0001856712+1.775351e-06j)
117.0	(-0.0001871428+1.789582e-06j)
118.0	(-0.0001886561+1.804196e-06j)
119.0	(-0.0001902092+1.819177e-06j)
120.0	(-0.0001918002+1.834505e-06j)
121.0	(-0.0001934271+1.850163e-06j)
122.0	(-0.0001950881+1.866131e-06j)
123.0	(-0.000196781+1.882389e-06j)
124.0	(-0.0001985038+1.898919e-06j)
125.0	(-0.0002002545+1.915699e-06j)
126.0	(-0.0002020308+1.932709e-06j)
127.0	(-0.0002038306+1.949929e-06j)
128.0	(-0.0002056517+1.967337e-06j)
129.0	(-0.0002074919+1.984913e-06j)
130.0	(-0.000209349+2.002634e-06j)
131.0	(-0.0002112206+2.02048e-06j)
132.0	(-0.0002131046+2.038429e-06j)
133.0	(-0.0002149986+2.056458e-06j)
134.0	(-0.0002169003+2.074546e-06j)
135.0	(-0.0002188073+2.09267e-06j)
136.0	(-0.0002207175+2.11081e-06j)
137.0	(-0.0002226284+2.128942e-06j)
138.0	(-0.0002245377+2.147044e-06j)
139.0	(-0.0002264431+2.165095e-06j)
140.0	(-0.0002283422+2.183072e-06j)
141.0	(-0.0002302328+2.200953e-06j)
142.0	(-0.0002321126+2.218718e-06j)
143.0	(-0.0002339792+2.236343e-06j)
144.0	(-0.0002358304+2.253808e-06j)
145.0	(-0.0002376639+2.271091e-06j)
146.0	(-0.0002394775+2.288172e-06j)
147.0	(-0.000241269+2.305029e-06j)
148.0	(-0.0002430362+2.321642e-06j)
149.0	(-0.000244777+2.33799e-06j)
150.0	(-0.0002464891+2.354055e-06j)
151.0	(-0.0002481707+2.369815e-06j)
152.0	(-0.0002498195+2.385253e-06j)
153.0	(-0.0002514336+2.400348e-06j)
154.0	(-0.000253011+2.415084e-06j)
155.0	(-0.0002545498+2.429441e-06j)
156.0	(-0.0002560481+2.443403e-06j)
157.0	(-0.0002575041+2.456952e-06j)
158.0	(-0.0002589161+2.470071e-06j)
159.0	(-0.0002602822+2.482746e-06j)
160.0	(-0.0002616009+2.49496e-06j)
161.0	(-0.0002628705+2.506698e-06j)
162.0	(-0.0002640895+2.517947e-06j)
163.0	(-0.0002652564+2.528692e-06j)
164.0	(-0.0002663698+2.538921e-06j)
165.0	(-0.0002674283+2.548621e-06j)
166.0	(-0.0002684306+2.557779e-06j)
167.0	(-0.0002693755+2.566386e-06j)
168.0	(-0.0002702619+2.57443e-06j)
169.0	(-0.0002710887+2.581902e-06j)
170.0	(-0.0002718548+2.588792e-06j)
171.0	(-0.0002725594+2.595093e-06j)
172.0	(-0.0002732015+2.600796e-06j)
173.0	(-0.0002737805+2.605895e-06j)
174.0	(-0.0002742955+2.610383e-06j)
175.0	(-0.000274746+2.614255e-06j)
176.0	(-0.0002751315+2.617506e-06j)
177.0	(-0.0002754513+2.620132e-06j)
178.0	(-0.0002757052+2.622131e-06j)
179.0	(-0.0002758929+2.623499e-06j)
180.0	(-0.0002760141+2.624234e-06j)
