b(nm)	f_opt(Hz)
20.0	201253000000000.0
25.0	201094000000000.0
30.0	200924000000000.0
35.0	200803400000000.0
40.0	200645800000000.0
45.0	200543000000000.0
50.0	200419600000000.0
55.0	200296200000000.0
60.0	200203500000000.0
65.0	200088500000000.0
70.0	200002600000000.0
75.0	199899400000000.0
80.0	199823100000000.0
85.0	199714900000000.0
90.0	199646400000000.0
95.0	199589400000000.0
100.0	199487100000000.0
