b(nm)	g_om/2pi(Hz)
20.0	466876.4048191263
25.0	462914.4063160677
30.0	447414.4370808577
35.0	437192.1082348069
40.0	422298.5852235212
45.0	403310.1429560349
50.0	384654.54777959356
55.0	575519.5161094887
60.0	339459.6661913182
65.0	312111.1268593447
70.0	285393.43707549537
75.0	259773.64275759226
80.0	232096.11357784478
85.0	206112.998296122
90.0	183156.4616395497
95.0	162984.6529396658
100.0	145086.77703155953
