b(nm)	x_zpf(m)
20.0	1.943944e-15
25.0	1.955661e-15
30.0	1.936006e-15
35.0	1.906038e-15
40.0	1.867409e-15
45.0	1.820162e-15
50.0	1.763711e-15
55.0	1.697334e-15
60.0	1.618136e-15
65.0	1.518444e-15
70.0	1.413244e-15
75.0	1.307885e-15
80.0	1.285887e-15
85.0	1.381911e-15
90.0	1.447581e-15
95.0	1.507228e-15
100.0	1.541721e-15
