b(nm)	g_pe/2pi(Hz)
20.0	286671.4078484854
25.0	295021.11808629474
30.0	296850.4573295293
35.0	297773.99508512346
40.0	293747.4821199113
45.0	287619.4682701734
50.0	279122.37887156877
55.0	521092.28876023483
60.0	253637.06482860743
65.0	235482.6916565419
70.0	215510.30001903555
75.0	194749.05753584317
80.0	174119.58300300353
85.0	151500.09802576763
90.0	133571.88452140611
95.0	117723.64940802385
100.0	102511.39975385896
