b(nm)	f_mech(Hz)
20.0	4900886000.0
25.0	4989806000.0
30.0	5065647000.0
35.0	5135934000.0
40.0	5199156000.0
45.0	5253462000.0
50.0	5304768000.0
55.0	5350263000.0
60.0	5389108000.0
65.0	5424967000.0
70.0	5453500000.0
75.0	5479065000.0
80.0	5498585000.0
85.0	5514199000.0
90.0	5527480000.0
95.0	5538488000.0
100.0	5547183000.0
