b(nm)	g_sm/2pi(Hz)
20.0	32473990.0
25.0	29855570.0
30.0	23178690.0
35.0	19543440.0
40.0	16823710.0
45.0	14734680.0
50.0	12475970.0
55.0	21671690.0
60.0	8985403.0
65.0	6773601.0
70.0	6808656.0
75.0	5341367.0
80.0	5400332.0
85.0	4488239.0
90.0	3705527.0
95.0	3156318.0
100.0	2895698.0
