b(nm)	V_opt/l^3
20.0	0.003523591
25.0	0.004016942
30.0	0.004501049
35.0	0.001800926
40.0	0.004811667
45.0	0.005317803
50.0	0.00209069
55.0	0.005701488
60.0	0.005722446
65.0	0.006588411
70.0	0.006595152
75.0	0.004277746
80.0	0.007646944
85.0	0.007951925
90.0	0.005234815
95.0	0.004940284
100.0	0.008966576
