b(nm)	V_mech/lp^3
20.0	1.0489330000000142e-05
25.0	8.51819000000017e-06
30.0	1.7375980000000176e-05
35.0	4.501261000000066e-06
40.0	1.084192000000001e-05
45.0	1.8260260000000006e-05
50.0	6.441823000000073e-06
55.0	2.532448000000006e-05
60.0	3.613392000000001e-05
65.0	5.273675e-05
70.0	5.6570900000000174e-05
75.0	2.069957000000038e-05
80.0	5.780026000000461e-05
85.0	0.00010952950000003363
90.0	4.646307000000433e-05
95.0	4.025227000000031e-05
100.0	0.00023612640000000325
